"jobid","education","programming languages","databases","platforms","misc tools","web frameworks","environments","workflow management","testing software","visualization software"
2737184308,unknown,assembly processing,,,,,,,,
2739468678,Bachelors,r d,,,,,,,,
2739468682,Masters,r assembly d,,,,,,,,
2744168505,unknown,c c++ java,oracle mysql,linux,,,,,,
2744945463,unknown,c++ java,,linux,,,,,,
2747704937,unknown,ruby ml go shell c++ elixir python,redis,linux kubernetes docker aws,pytorch tensorflow react machine_learning,,,,jenkins,salesforce
2747728732,unknown,format,,,,,,,,
2782691592,unknown,css html,,,react,jquery,,,,
2750143864,Bachelors,java shell,sql,ibm,,spring,eclipse,,,
2750331974,unknown,puppet vim emacs java perl python,,linux docker aws,chef ansible,,,,,
2750982476,unknown,c,,,bi,,,,,domo
2751307477,unknown,go ml java scala python,,,spark,,,,,
2751387985,unknown,c c++ java shell r matlab scala python,,linux,tensorflow hadoop spark machine_learning,,,,,
2751391914,Bachelors,,oracle sql,,,,,,,
2783389900,Bachelors,,,,,,,,,salesforce
2783704197,Bachelors,d c javascript java html asp format,oracle sql,windows,,jquery,visual_studio,,,
2783735645,unknown,python,,,etl,,,asana,,
2751721952,Bachelors,,oracle sql,,,,,,,
2751721965,unknown,c c++ java shell r matlab scala python,,linux,tensorflow hadoop spark machine_learning,,,,,
2751722127,unknown,,oracle,,,,,,,
2754533594,unknown,css processing javascript html python,,,react,jquery,,,,
2755937031,unknown,go java scala,mysql sql oracle cassandra,,,,,,,
2756013105,unknown,go python,mysql,,machine_learning,,,,,
2759588926,unknown,c java html python,,ios android linux windows,,,,,,
2761515696,Masters,processing c c++ java python,,azure aws,,,,,,
2764490060,unknown,ruby go c c++ perl python,,windows,,,,,,
2766346603,unknown,scala java,,kubernetes,machine_learning,,,,,
2768373879,Masters,c c++ d,,,,,,,,
2796642182,unknown,,,android ios,,,,,,
3178860415,Bachelors,processing,,,,,,,,
2768374064,Masters,c c++ d,,,,,,,,
2768374074,Masters,c c++ d,,linux,,,,,,
2768374087,Bachelors,c c++,,linux,,,,,,
2768374142,unknown,c++ python,,,machine_learning,,,,,
2768374188,Bachelors,python c++ d,,,,,,,,
2768374424,unknown,java,sql redis,linux,spark,,,,,
2768374526,Bachelors,php c c++ perl python,,linux,,,,,,
2768374545,unknown,c c++ python,,linux,,,,,,
2768374677,unknown,c++ python,,,,,,,,
2769377487,unknown,,sql,,,,,,,
2769594229,unknown,go d,,slack ios android,,,,trello jira,,
2774716946,Bachelors,ruby puppet shell python,,docker aws,chef,,,,,
2775534490,unknown,python,sql,,machine_learning,,,,,
3039654434,unknown,d processing c c++ scheme python,,linux,,,,,,
2776155165,unknown,c java,oracle sql,linux,,express,,,,
2776742825,unknown,processing c c++ java scala,,aws linux docker kubernetes,hadoop spark etl,,,,jenkins,
2776765635,unknown,go,,,machine_learning,,,,,
2776801033,unknown,d,,,,,,,,
2776962456,High School,go,,,,,,,,
2776976329,unknown,css javascript html vue typescript,,,react,angular,,,,
2776976699,unknown,go ml processing c++ c java python,mysql sql cassandra,,tensorflow hadoop spark machine_learning,,,,,
2776976779,unknown,go ml processing c++ c java python,mysql sql cassandra,,tensorflow hadoop spark machine_learning,,,,,
2776977631,unknown,processing java scala python,sql,,hadoop spark etl,,,,,
2776977640,unknown,processing c swift,,ios,hadoop machine_learning,,,,,
2777758972,unknown,go c++ javascript java shell scala,,,etl hadoop spark machine_learning,,,,,
2780772998,unknown,processing javascript,mongodb redis elasticsearch,ibm heroku azure google_cloud_platform kubernetes,machine_learning,,,,,salesforce
2781653632,Bachelors,c,,,,,,,,
2781900313,unknown,d processing c++ javascript java groovy typescript python,cassandra,aws,react hadoop spark,,,,,leaflet
2782634325,Bachelors,c++ python,,linux,,,,,,
2993805424,unknown,css c javascript html asp,microsoft_sql_server sql redis elasticsearch,slack docker aws,,,visual_studio_code visual_studio,jira,,
2784917633,unknown,c++ java python,,azure aws,,flask django,,jira,,
2786921730,unknown,,,android,,,,,,
2787178077,unknown,r d,,,,,,,,
2787178105,unknown,d java r,mysql sql,,,spring,,jira,,
2787834175,Bachelors,go css javascript vue,,,react,,,,,
2787834183,Bachelors,vue css javascript,,,react,,,,,
2787847729,unknown,php puppet d c++ shell r python,mysql mongodb dynamodb redis elasticsearch,linux kubernetes docker aws,ansible,drupal angular,,,jenkins,
